feature,importance
%,3.024236973292904
 # ,2.6579838484317504
", ",2.5674858602523196
 1 ,2.41152566068149
nam,2.239252400398508
"1,",2.199709621784556
;,2.0991374429840235
# ,1.9036490459862287
--,1.9001987255764343
has_hex_injection,1.8698034819184413
has_select_all,1.8260238166672593
has_system_tables,1.7704338486782771
has_information_schema,1.7704338486782771
a,1.7670996670572439
has_waitfor,1.7503505567318483
has_comment,1.734986416885536
p_,1.728264350945202
 ,1.644958351287214
",50",1.612017265956596
 1',1.5795625431829354
